City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
264,Iwamizawa,JP,2020-06-19 02:56:22,43.2,141.76,66.99,82,75,8.05
265,Santa Maria,BR,2020-06-19 02:56:22,-29.68,-53.81,68.0,77,75,2.24
266,Comodoro Rivadavia,AR,2020-06-19 02:52:34,-45.87,-67.5,51.8,53,69,8.05
267,Chincha Alta,PE,2020-06-19 02:56:23,-13.41,-76.13,64.4,82,90,6.93
268,Thompson,CA,2020-06-19 02:52:51,55.74,-97.86,39.2,100,90,10.29
269,Barcelos,PT,2020-06-19 02:52:14,41.54,-8.62,55.99,93,9,2.24
270,San Vicente,AR,2020-06-19 02:56:23,-26.62,-54.13,63.81,92,16,3.85
271,Isangel,VU,2020-06-19 02:56:24,-19.55,169.27,78.8,74,90,5.82
272,Maturin,VE,2020-06-19 02:56:24,9.75,-63.18,75.29,86,85,4.34
273,Monrovia,LR,2020-06-19 02:56:24,6.3,-10.8,75.2,94,75,8.25
274,Kenai,US,2020-06-19 02:56:25,60.55,-151.26,57.2,71,90,17.22
275,Dabakala,CI,2020-06-19 02:56:25,8.37,-4.43,70.3,97,100,2.98
276,Sheopur,IN,2020-06-19 02:56:25,25.67,76.7,96.33,42,36,13.53
277,Humberto De Campos,BR,2020-06-19 02:56:25,-2.6,-43.46,74.16,90,69,3.42
278,Quelimane,MZ,2020-06-19 02:56:26,-17.88,36.89,64.53,94,75,6.64
279,Cockburn Town,TC,2020-06-19 02:55:00,21.46,-71.14,82.38,80,1,18.84
280,Bandarbeyla,SO,2020-06-19 02:56:26,9.49,50.81,82.94,57,26,23.76
281,Turukhansk,RU,2020-06-19 02:56:27,65.82,87.98,55.38,62,93,10.36
282,Mudgee,AU,2020-06-19 02:56:27,-32.59,149.59,60.01,62,3,4.7
283,Santa Cruz Cabralia,BR,2020-06-19 02:56:27,-16.28,-39.02,73.4,94,90,13.87
284,Merauke,ID,2020-06-19 02:51:52,-8.47,140.33,82.54,70,97,16.13
285,Aklavik,CA,2020-06-19 02:56:28,68.22,-135.01,64.4,52,40,10.29
286,Kamina,CD,2020-06-19 02:56:28,-8.74,24.99,53.65,63,61,3.98
287,Grindavik,IS,2020-06-19 02:56:28,63.84,-22.43,48.2,87,75,14.99
288,Vostok,RU,2020-06-19 02:56:28,46.49,135.88,56.37,86,91,4.63
289,Bose,IT,2020-06-19 02:56:29,45.46,8.01,57.0,89,0,4.61
290,Kambove,CD,2020-06-19 02:56:29,-10.88,26.6,46.98,87,0,6.11
291,Mabaruma,GY,2020-06-19 02:56:29,8.2,-59.78,76.24,92,100,3.49
292,Maniitsoq,GL,2020-06-19 02:56:29,65.42,-52.9,41.22,74,72,14.67
293,Mitchell,US,2020-06-19 02:56:30,43.71,-98.03,69.8,64,1,4.7
294,Izumo,JP,2020-06-19 02:56:30,35.37,132.77,73.4,73,75,13.87
295,Ustikolina,BA,2020-06-19 02:56:30,43.58,18.79,52.14,81,0,2.89
296,Belmonte,BR,2020-06-19 02:56:30,-15.86,-38.88,73.4,94,90,13.87
297,Kudahuvadhoo,MV,2020-06-19 02:51:36,2.67,72.89,84.02,76,55,7.72
298,Anloga,GH,2020-06-19 02:56:31,5.79,0.9,78.8,88,40,2.24
299,Samokov,BG,2020-06-19 02:56:31,42.33,23.55,59.0,87,1,3.36
300,Ambulu,ID,2020-06-19 02:56:31,-8.35,113.61,82.62,73,48,7.85
301,Fortuna,US,2020-06-19 02:56:32,40.6,-124.16,62.01,87,20,9.17
302,Moussoro,TD,2020-06-19 02:56:32,13.64,16.49,87.42,43,7,7.07
303,Vila Velha,BR,2020-06-19 02:53:42,-20.33,-40.29,66.2,93,6,2.24
