City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
328,Hami,CN,42.8,93.45,78.62,34,86,2.73,overcast clouds,0.0,0.0
329,Gat,IL,31.61,34.76,77.0,71,53,1.01,broken clouds,0.0,0.0
330,Naples,IT,40.83,14.25,75.0,64,37,2.24,scattered clouds,0.0,0.0
331,Yima,CN,34.74,111.88,88.0,99,91,11.97,overcast clouds,0.0,0.0
332,Borgo San Lorenzo,IT,43.96,11.38,64.99,82,20,2.24,few clouds,0.0,0.0
333,Stephenville,US,32.22,-98.2,75.99,93,90,4.7,heavy intensity rain,5.84,0.0
334,Wilmington,US,34.23,-77.94,71.6,94,40,12.75,scattered clouds,0.0,0.0
335,Lobito,AO,-12.35,13.55,64.4,93,1,4.07,clear sky,0.0,0.0
336,Wagar,SD,16.15,36.2,89.62,44,1,17.31,clear sky,0.0,0.0
337,Ouargaye,BF,11.5,0.06,76.86,75,60,5.44,broken clouds,0.0,0.0
338,San Fernando,PH,15.03,120.69,93.2,59,75,6.93,broken clouds,0.0,0.0
339,Alta Floresta,BR,-9.88,-56.09,66.94,78,76,3.2,broken clouds,0.0,0.0
340,Lasa,IT,46.62,10.7,44.6,87,40,9.17,scattered clouds,0.0,0.0
341,Vidim,RU,56.41,103.11,70.59,64,94,2.8,light rain,0.75,0.0
342,Joao Neiva,BR,-19.76,-40.39,69.8,94,78,2.24,broken clouds,0.0,0.0
343,Palana,RU,59.12,159.97,50.0,86,40,9.15,scattered clouds,0.0,0.0
344,Buchanan,LR,5.88,-10.05,77.0,94,75,1.32,broken clouds,0.0,0.0
345,Maceio,BR,-9.67,-35.74,71.6,94,75,2.24,light rain,0.0,0.0
346,Nioro,GM,13.35,-15.75,80.51,80,70,5.64,broken clouds,0.0,0.0
347,Sao Felix Do Xingu,BR,-6.64,-51.99,68.45,90,0,1.03,clear sky,0.0,0.0
348,Quang Ngai,VN,15.12,108.8,93.9,52,2,13.22,clear sky,0.0,0.0
349,Tandil,AR,-37.32,-59.13,45.0,84,2,1.01,clear sky,0.0,0.0
350,San Gavino Monreale,IT,39.55,8.79,71.6,73,5,13.87,clear sky,0.0,0.0
351,Klaksvik,FO,62.23,-6.59,51.8,100,99,14.99,overcast clouds,0.0,0.0
352,Tirlyanskiy,RU,54.21,58.58,66.51,34,0,9.35,clear sky,0.0,0.0
353,Bilma,NE,18.69,12.92,89.47,14,36,6.4,scattered clouds,0.0,0.0
354,Meulaboh,ID,4.14,96.13,86.58,59,86,5.64,overcast clouds,0.0,0.0
355,Chuy,UY,-33.7,-53.46,53.98,96,93,4.47,overcast clouds,0.0,0.0
356,Iralaya,HN,15.0,-83.23,80.98,85,20,10.94,light rain,0.12,0.0
357,Ossora,RU,59.24,163.07,56.7,66,1,6.17,clear sky,0.0,0.0
358,Linxia,CN,35.6,103.21,83.68,28,35,2.13,scattered clouds,0.0,0.0
359,Itambacuri,BR,-18.03,-41.69,67.71,90,96,4.61,overcast clouds,0.0,0.0
360,Callaway,US,30.15,-85.57,79.0,78,1,6.93,clear sky,0.0,0.0
361,Ahuimanu,US,21.44,-157.84,78.8,65,75,12.75,broken clouds,0.0,0.0
362,Kirkwood,US,38.58,-90.41,75.99,69,40,3.36,scattered clouds,0.0,0.0
363,La Paz,BO,-16.5,-68.15,23.0,32,0,2.24,clear sky,0.0,0.0
364,Wad Madani,SD,14.4,33.52,88.72,45,6,16.2,clear sky,0.0,0.0
365,Khandyga,RU,62.67,135.6,83.82,32,1,3.74,clear sky,0.0,0.0
366,Brae,GB,60.4,-1.35,55.4,93,99,1.12,overcast clouds,0.0,0.0
367,Jalu,LY,29.03,21.55,86.7,19,0,10.29,clear sky,0.0,0.0
368,Liverpool,GB,53.41,-2.98,57.0,87,27,5.82,scattered clouds,0.0,0.0
